studentID,First Name,Last Name,Gender,Dob,studentClass,SocialID,studentPassword
20125100,Quang The,Cuong,Male,1/1/2002,20CTT2,792020,student
20125101,Nguyen Van,An,Male,2/3/2002,20CTT2,792120,student
20125102,Tran Van,Binh,Male ,5/6/2002,20CTT2,792121,student
20125103,Nguyen Thi Thu,Cuong,Female,7/5/2002,20CTT2,792122,student
20125104,Tran Van,An,Male ,8/5/2002,20CTT2,792123,student
20125105,Ho Thi,Binh,Female,9/5/2002,20CTT2,792124,student
20125106,Hoang Thanh,Cuong,Male ,10/5/2002,20CTT2,792125,student
20125107,Dao Mai,An,Female,11/5/2002,20CTT2,792126,student
20125108,Nguyen Cong,Binh,Male ,12/5/2002,20CTT2,792127,student
20125109,Tran Van,Cuong,Female,1/5/2003,20CTT2,792128,student
20125110,Ho Thi,An,Male ,2/5/2003,20CTT2,792129,student
20125111,Hoang Thanh,Binh,Female,3/5/2003,20CTT2,792130,student
20125112,Dao Mai,Cuong,Male ,4/5/2003,20CTT2,792131,student
20125113,Nguyen Cong,An,Female,5/5/2003,20CTT2,792132,student
20125114,Tran Van,Binh,Male ,6/5/2003,20CTT2,792133,student
20125115,Ho Thi,Cuong,Female,7/5/2003,20CTT2,792134,student
20125116,Hoang Thanh,An,Male ,8/5/2003,20CTT2,792135,student
20125117,Dao Mai,Binh,Female,9/5/2003,20CTT2,792136,student
