studentID,Last Name,First Name,Gender,Dob,studentClass,SocialID,studentPassword
20125100,Quang The,Cuong,Male,1/1/2002,20CTT2,792020,student
20125101,Nguyen Van,An,Male,2/3/2002,20CTT2,792120,student
20125102,Tran Van,Binh,Male ,5/6/2002,20CTT2,792121,student
20125103,Nguyen Thi Thu,Cuong,Female,7/5/2002,20CTT2,792122,student
20125104,Tran Van,An,Male ,8/5/2002,20CTT2,792123,student
20125105,Ho Thi,Binh,Female,9/5/2002,20CTT2,792124,student
20125106,Hoang Thanh,Cuong,Male ,10/5/2002,20CTT2,792125,student
20125107,Dao Mai,An,Female,11/5/2002,20CTT2,792126,student
20125108,Nguyen Cong,Binh,Male ,12/5/2002,20CTT2,792127,student
20125109,Tran Van,Cuong,Female,1/5/2003,20CTT2,792128,student
20125110,Ho Thi,An,Male ,2/5/2003,20CTT2,792129,student
20125111,Hoang Thanh,Binh,Female,3/5/2003,20CTT2,792130,student
20125112,Dao Mai,Cuong,Male ,4/5/2003,20CTT2,792131,student
20125113,Nguyen Cong,An,Female,5/5/2003,20CTT2,792132,student
20125114,Tran Van,Binh,Male ,6/5/2003,20CTT2,792133,student
20125115,Ho Thi,Cuong,Female,7/5/2003,20CTT2,792134,student
20125116,Hoang Thanh,An,Male ,8/5/2003,20CTT2,792135,student
20125117,Dao Mai,Binh,Female,9/5/2003,20CTT2,792136,student
20125096,Phan Vinh,Khang,Male,22/12/2002,20CTT2,14124418,student
20125200,Quang The,Tuan,Male,1/1/2002,20CTT2,782020,student
20125201,Nguyen Van,Son,Male,2/3/2002,20CTT2,782021,student
20125202,Tran Van,Khang,Male ,5/6/2002,20CTT2,782022,student
20125203,Nguyen Thi Thu,Tuan,Female,7/5/2002,20CTT2,782023,student
20125204,Tran Van,Son,Male ,8/5/2002,20CTT2,782024,student
20125205,Ho Thi,Khang,Female,9/5/2002,20CTT2,782025,student
20125206,Hoang Thanh,Tuan,Male ,10/5/2002,20CTT2,782026,student
20125207,Dao Mai,Son,Female,11/5/2002,20CTT2,782027,student
20125208,Nguyen Cong,Khang,Male ,12/5/2002,20CTT2,782028,student
20125209,Tran Van,Tuan,Female,1/5/2003,20CTT2,782029,student
20125210,Ho Thi,Son,Male ,2/5/2003,20CTT2,782030,student
20125211,Hoang Thanh,Khang,Female,3/5/2003,20CTT2,782031,student
20125212,Dao Mai,Tuan,Male ,4/5/2003,20CTT2,782032,student
20125213,Nguyen Cong,Son,Female,5/5/2003,20CTT2,782033,student
20125214,Tran Van,Khang,Male ,6/5/2003,20CTT2,782034,student
20125215,Ho Thi,Tuan,Female,7/5/2003,20CTT2,782035,student
20125216,Hoang Thanh,Son,Male ,8/5/2003,20CTT2,782036,student
20125217,Dao Mai,Khang,Female,9/5/2003,20CTT2,782037,student
